rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11
"Dexter, Emily R.","Bowman, Mannika L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Bowman, Mannika L.","Fantini, Alfred B.","Weinstein, David J.","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Lim, Christopher","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dawson, Bernette J.","Allen, Ruth Ryan","Wilson, Ayesha","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Wilson, Ayesha","Lim, Christopher","Bowman, Mannika L.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Fantini, Alfred B.","Dexter, Emily R.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Bowman, Mannika L.","Lim, Christopher","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Allen, Ruth Ryan","Weinstain, Rachel","Bowman, Mannika L.","Rojas Villareal, Jose Luis","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Weinstain, Rachel","Bowman, Mannika L.","Allen, Ruth Ryan","Rojas Villareal, Jose Luis","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,"Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Fantini, Alfred B.","Dexter, Emily R.","Bowman, Mannika L.","Lim, Christopher","Dawson, Bernette J.","Kadete, Elechi M.","Rojas Villareal, Jose Luis","Weinstein, David J.","Weinstain, Rachel","Allen, Ruth Ryan"
"Dexter, Emily R.","Kadete, Elechi M.","Weinstein, David J.","Wilson, Ayesha","Rojas Villareal, Jose Luis","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Lim, Christopher","Kadete, Elechi M.","Dawson, Bernette J.","Allen, Ruth Ryan","Wilson, Ayesha","Weinstain, Rachel","Weinstein, David J.","Rojas Villareal, Jose Luis",skipped,skipped
"Lim, Christopher","Dexter, Emily R.","Bowman, Mannika L.","Fantini, Alfred B.","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Dawson, Bernette J.","Dexter, Emily R.","Bowman, Mannika L.","Wilson, Ayesha","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Dexter, Emily R.","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Wilson, Ayesha","Weinstain, Rachel","Rojas Villareal, Jose Luis","Allen, Ruth Ryan","Lim, Christopher","Fantini, Alfred B.","Bowman, Mannika L.","Weinstein, David J.",skipped,skipped
"Fantini, Alfred B.","Dexter, Emily R.","Bowman, Mannika L.","Weinstain, Rachel","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis","Dawson, Bernette J.","Dexter, Emily R.","Lim, Christopher","Weinstein, David J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Wilson, Ayesha","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Weinstein, David J.","Kadete, Elechi M.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Rojas Villareal, Jose Luis","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Bowman, Mannika L.","Dawson, Bernette J.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Weinstein, David J.","Rojas Villareal, Jose Luis","Lim, Christopher","Bowman, Mannika L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Kadete, Elechi M.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Weinstein, David J.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Wilson, Ayesha","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Allen, Ruth Ryan","Fantini, Alfred B.","Dawson, Bernette J.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Rojas Villareal, Jose Luis","Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Weinstein, David J.","Wilson, Ayesha","Rojas Villareal, Jose Luis","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Dexter, Emily R.","Bowman, Mannika L.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Kadete, Elechi M.","Dexter, Emily R.","Bowman, Mannika L.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Dawson, Bernette J.","Dexter, Emily R.","Weinstain, Rachel","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Kadete, Elechi M.","Fantini, Alfred B.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Fantini, Alfred B.","Dexter, Emily R.","Weinstein, David J.","Wilson, Ayesha","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped
"Allen, Ruth Ryan","Fantini, Alfred B.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Allen, Ruth Ryan","Kadete, Elechi M.","Wilson, Ayesha","Dawson, Bernette J.","Lim, Christopher","Bowman, Mannika L.","Rojas Villareal, Jose Luis","Weinstein, David J.","Weinstain, Rachel","Dexter, Emily R."
"Dawson, Bernette J.","Lim, Christopher","Weinstein, David J.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Weinstain, Rachel","Dawson, Bernette J.","Fantini, Alfred B.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Rojas Villareal, Jose Luis","Dexter, Emily R.","Allen, Ruth Ryan","Weinstain, Rachel","Kadete, Elechi M.","Dawson, Bernette J.","Bowman, Mannika L.","Weinstein, David J.","Lim, Christopher","Fantini, Alfred B."
"Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Dexter, Emily R.","Wilson, Ayesha","Bowman, Mannika L.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Fantini, Alfred B.","Bowman, Mannika L.","Dexter, Emily R.","Wilson, Ayesha","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Dawson, Bernette J.","Rojas Villareal, Jose Luis","Weinstein, David J.","Weinstain, Rachel","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Rojas Villareal, Jose Luis","Weinstein, David J.","Kadete, Elechi M.","Bowman, Mannika L.","Dexter, Emily R.","Allen, Ruth Ryan",skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Dawson, Bernette J.","Weinstain, Rachel","Weinstein, David J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Fantini, Alfred B.","Bowman, Mannika L.","Weinstain, Rachel","Weinstein, David J.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Dexter, Emily R.","Rojas Villareal, Jose Luis","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Bowman, Mannika L.","Allen, Ruth Ryan","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Lim, Christopher","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Rojas Villareal, Jose Luis","Fantini, Alfred B.","Weinstein, David J.","Weinstain, Rachel","Dexter, Emily R.","Wilson, Ayesha",skipped,skipped,skipped,skipped
"Weinstain, Rachel","Fantini, Alfred B.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Kadete, Elechi M.","Wilson, Ayesha","Dexter, Emily R.","Fantini, Alfred B.","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Weinstain, Rachel","Rojas Villareal, Jose Luis","Kadete, Elechi M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Dawson, Bernette J.","Dexter, Emily R.","Kadete, Elechi M.","Wilson, Ayesha","Lim, Christopher",skipped,skipped,skipped,skipped,skipped
skipped,skipped,"Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Rojas Villareal, Jose Luis","Wilson, Ayesha","Dawson, Bernette J.","Allen, Ruth Ryan","Kadete, Elechi M.","Weinstein, David J.","Weinstain, Rachel","Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B."
"Dexter, Emily R.","Fantini, Alfred B.","Rojas Villareal, Jose Luis","Weinstein, David J.","Dawson, Bernette J.","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dawson, Bernette J.","Kadete, Elechi M.","Lim, Christopher","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dawson, Bernette J.","Fantini, Alfred B.","Wilson, Ayesha","Rojas Villareal, Jose Luis","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Bowman, Mannika L.","Fantini, Alfred B.","Lim, Christopher","Weinstain, Rachel","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Wilson, Ayesha","Dexter, Emily R.","Kadete, Elechi M.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Weinstain, Rachel","Dawson, Bernette J.","Wilson, Ayesha","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Fantini, Alfred B.","Weinstein, David J.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Weinstein, David J.","Weinstain, Rachel","Kadete, Elechi M.","Dawson, Bernette J.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis","Bowman, Mannika L.","Fantini, Alfred B.","Dawson, Bernette J.","Wilson, Ayesha","Lim, Christopher","Allen, Ruth Ryan","Dexter, Emily R.","Kadete, Elechi M.","Weinstain, Rachel","Weinstein, David J."
"Dawson, Bernette J.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Wilson, Ayesha","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Wilson, Ayesha","Kadete, Elechi M.","Weinstein, David J.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Allen, Ruth Ryan","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Weinstain, Rachel","Bowman, Mannika L.","Kadete, Elechi M.","Wilson, Ayesha","Fantini, Alfred B.","Dawson, Bernette J.","Rojas Villareal, Jose Luis",skipped,skipped,skipped
"Allen, Ruth Ryan","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Wilson, Ayesha","Rojas Villareal, Jose Luis","Allen, Ruth Ryan","Dexter, Emily R.","Fantini, Alfred B.","Dawson, Bernette J.","Bowman, Mannika L.","Kadete, Elechi M.","Lim, Christopher",skipped
"Bowman, Mannika L.","Wilson, Ayesha","Allen, Ruth Ryan","Rojas Villareal, Jose Luis","Dawson, Bernette J.","Weinstain, Rachel","Weinstein, David J.",skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis","Dexter, Emily R.","Weinstein, David J.","Kadete, Elechi M.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.","Weinstain, Rachel","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Wilson, Ayesha","Bowman, Mannika L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Wilson, Ayesha","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Weinstein, David J.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Kadete, Elechi M.","Lim, Christopher","Rojas Villareal, Jose Luis","Weinstein, David J.","Dexter, Emily R.","Weinstain, Rachel",skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis","Weinstain, Rachel","Wilson, Ayesha","Allen, Ruth Ryan","Weinstein, David J.","Bowman, Mannika L.","Dawson, Bernette J.","Fantini, Alfred B.","Dexter, Emily R.","Kadete, Elechi M.","Lim, Christopher"
"Dexter, Emily R.","Weinstain, Rachel","Bowman, Mannika L.","Lim, Christopher","Weinstein, David J.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped
"Allen, Ruth Ryan","Dexter, Emily R.","Fantini, Alfred B.","Weinstain, Rachel","Kadete, Elechi M.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Weinstain, Rachel","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis","Dexter, Emily R.","Weinstain, Rachel","Bowman, Mannika L.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Weinstain, Rachel","Weinstein, David J.","Bowman, Mannika L.","Kadete, Elechi M.","Lim, Christopher","Allen, Ruth Ryan","Wilson, Ayesha","Fantini, Alfred B.",skipped,skipped
"Dexter, Emily R.","Weinstein, David J.","Rojas Villareal, Jose Luis","Weinstain, Rachel","Wilson, Ayesha","Kadete, Elechi M.","Fantini, Alfred B.","Allen, Ruth Ryan","Bowman, Mannika L.",skipped,skipped
"Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Weinstein, David J.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Dexter, Emily R.","Bowman, Mannika L.","Kadete, Elechi M.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Dawson, Bernette J.","Weinstain, Rachel","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Weinstain, Rachel","Bowman, Mannika L.","Wilson, Ayesha","Fantini, Alfred B.","Lim, Christopher","Rojas Villareal, Jose Luis","Weinstein, David J.","Allen, Ruth Ryan","Kadete, Elechi M.","Dawson, Bernette J."
"Dexter, Emily R.","Dawson, Bernette J.","Fantini, Alfred B.","Lim, Christopher","Bowman, Mannika L.","Rojas Villareal, Jose Luis","Weinstain, Rachel",skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Rojas Villareal, Jose Luis","Dexter, Emily R.","Fantini, Alfred B.","Bowman, Mannika L.","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Rojas Villareal, Jose Luis","Kadete, Elechi M.","Weinstein, David J.","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Allen, Ruth Ryan","Weinstain, Rachel","Bowman, Mannika L.","Weinstein, David J.","Dawson, Bernette J.","Rojas Villareal, Jose Luis","Lim, Christopher","Kadete, Elechi M.","Dexter, Emily R.",skipped
"Bowman, Mannika L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Dexter, Emily R.","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Kadete, Elechi M.","Lim, Christopher","Bowman, Mannika L.","Rojas Villareal, Jose Luis","Wilson, Ayesha","Dexter, Emily R.","Allen, Ruth Ryan","Weinstain, Rachel","Weinstein, David J.","Dawson, Bernette J."
"Fantini, Alfred B.","Dawson, Bernette J.","Weinstain, Rachel","Wilson, Ayesha","Kadete, Elechi M.","Dexter, Emily R.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped
"Allen, Ruth Ryan","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Dexter, Emily R.","Wilson, Ayesha","Bowman, Mannika L.","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Bowman, Mannika L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis","Fantini, Alfred B.","Wilson, Ayesha","Bowman, Mannika L.","Kadete, Elechi M.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Bowman, Mannika L.","Rojas Villareal, Jose Luis","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Allen, Ruth Ryan","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Allen, Ruth Ryan","Lim, Christopher","Fantini, Alfred B.","Dawson, Bernette J.","Rojas Villareal, Jose Luis","Dexter, Emily R.","Weinstain, Rachel","Bowman, Mannika L.","Kadete, Elechi M.","Wilson, Ayesha"
"Bowman, Mannika L.","Rojas Villareal, Jose Luis","Lim, Christopher","Dexter, Emily R.","Weinstain, Rachel","Wilson, Ayesha","Allen, Ruth Ryan",skipped,skipped,skipped,skipped
"Weinstain, Rachel","Dexter, Emily R.","Wilson, Ayesha","Rojas Villareal, Jose Luis","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Bowman, Mannika L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,"Dexter, Emily R.","Fantini, Alfred B.","Wilson, Ayesha",skipped,skipped,skipped,skipped
"Dexter, Emily R.","Allen, Ruth Ryan","Weinstain, Rachel","Dawson, Bernette J.","Bowman, Mannika L.","Fantini, Alfred B.","Wilson, Ayesha","Kadete, Elechi M.","Weinstein, David J.","Rojas Villareal, Jose Luis","Lim, Christopher"
"Weinstain, Rachel","Weinstein, David J.","Kadete, Elechi M.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Fantini, Alfred B.","Lim, Christopher","Bowman, Mannika L.","Rojas Villareal, Jose Luis","Dawson, Bernette J.","Weinstain, Rachel",skipped,skipped,skipped,skipped
"Weinstein, David J.","Wilson, Ayesha","Weinstain, Rachel","Fantini, Alfred B.","Dawson, Bernette J.","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped
"Allen, Ruth Ryan","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Weinstain, Rachel","Weinstein, David J.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Wilson, Ayesha","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Rojas Villareal, Jose Luis","Lim, Christopher","Weinstein, David J.","Kadete, Elechi M.","Dawson, Bernette J.","Wilson, Ayesha",skipped,skipped,skipped,skipped
"Allen, Ruth Ryan","Fantini, Alfred B.","Weinstain, Rachel","Weinstein, David J.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Wilson, Ayesha","Dawson, Bernette J.","Lim, Christopher","Dexter, Emily R.","Weinstain, Rachel","Weinstein, David J.",skipped,skipped,skipped,skipped
"Allen, Ruth Ryan","Bowman, Mannika L.","Wilson, Ayesha","Weinstein, David J.","Weinstain, Rachel","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Bowman, Mannika L.","Fantini, Alfred B.","Dexter, Emily R.","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis","Weinstain, Rachel","Allen, Ruth Ryan","Bowman, Mannika L.","Dawson, Bernette J.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Bowman, Mannika L.","Dexter, Emily R.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Bowman, Mannika L.","Dexter, Emily R.","Weinstain, Rachel","Rojas Villareal, Jose Luis","Kadete, Elechi M.","Lim, Christopher","Wilson, Ayesha","Allen, Ruth Ryan","Dawson, Bernette J.","Weinstein, David J."
"Weinstein, David J.","Kadete, Elechi M.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.",skipped,"Rojas Villareal, Jose Luis","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Bowman, Mannika L.","Wilson, Ayesha","Lim, Christopher","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Kadete, Elechi M.","Rojas Villareal, Jose Luis","Dexter, Emily R.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Rojas Villareal, Jose Luis","Lim, Christopher","Dexter, Emily R.","Kadete, Elechi M.","Weinstain, Rachel","Wilson, Ayesha","Dawson, Bernette J.","Weinstein, David J.","Bowman, Mannika L.",skipped
"Dawson, Bernette J.","Wilson, Ayesha","Dexter, Emily R.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Fantini, Alfred B.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Weinstain, Rachel","Rojas Villareal, Jose Luis","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Wilson, Ayesha","Lim, Christopher","Kadete, Elechi M.","Fantini, Alfred B.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Rojas Villareal, Jose Luis","Lim, Christopher","Wilson, Ayesha","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Allen, Ruth Ryan","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Lim, Christopher","Weinstain, Rachel","Rojas Villareal, Jose Luis","Kadete, Elechi M.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Allen, Ruth Ryan","Kadete, Elechi M.","Dawson, Bernette J.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Weinstain, Rachel","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Bowman, Mannika L.","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
