precincts,tally_type,ballotID,rank1,rank2,rank3
27-342,Regular Poll Ballots,000276381,Al Rose,Carolyn Merrival,skipped
27-342,Regular Poll Ballots,000276382,Al Rose,Carolyn Merrival,skipped
27-342,Regular Poll Ballots,000276383,Carolyn Merrival,Al Rose,Joyce McDonald
27-342,Regular Poll Ballots,000276384,Al Rose,Carolyn Merrival,skipped
27-342,Regular Poll Ballots,000276385,Carolyn Merrival,Al Rose,skipped
27-342,Regular Poll Ballots,000276386,Carolyn Merrival,Al Rose,skipped
27-342,Regular Poll Ballots,000276387,Carolyn Merrival,Al Rose,Joyce McDonald
27-342,Regular Poll Ballots,000276388,skipped,skipped,skipped
27-342,Regular Poll Ballots,000276389,skipped,skipped,skipped
27-342,Regular Poll Ballots,000276390,Joyce McDonald,skipped,skipped
27-342,Regular Poll Ballots,000276391,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276415,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276416,Joyce McDonald,Al Rose,Carolyn Merrival
27-356,Regular Poll Ballots,000276417,Al Rose,Carolyn Merrival,skipped
27-356,Regular Poll Ballots,000276418,Joyce McDonald,Joyce McDonald,Joyce McDonald
27-356,Regular Poll Ballots,000276419,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276420,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276421,Carolyn Merrival,Al Rose,Joyce McDonald
27-356,Regular Poll Ballots,000276422,Al Rose,Joyce McDonald,Carolyn Merrival
27-356,Regular Poll Ballots,000276423,Carolyn Merrival,skipped,skipped
27-356,Regular Poll Ballots,000276424,Al Rose,skipped,skipped
27-356,Regular Poll Ballots,000276425,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276426,Joyce McDonald,Al Rose,skipped
27-356,Regular Poll Ballots,000276427,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276428,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276429,Joyce McDonald,Al Rose,Carolyn Merrival
27-356,Regular Poll Ballots,000276430,Carolyn Merrival,Al Rose,Joyce McDonald
27-356,Regular Poll Ballots,000276431,Carolyn Merrival,skipped,skipped
27-356,Regular Poll Ballots,000276432,Al Rose,Carolyn Merrival,skipped
27-356,Regular Poll Ballots,000276433,Al Rose,skipped,skipped
27-356,Regular Poll Ballots,000276434,Al Rose,Carolyn Merrival,skipped
27-356,Regular Poll Ballots,000276435,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276436,Joyce McDonald,Carolyn Merrival,Al Rose
27-356,Regular Poll Ballots,000276437,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276438,Carolyn Merrival,Al Rose,Joyce McDonald
27-356,Regular Poll Ballots,000276439,Al Rose,Joyce McDonald,Carolyn Merrival
27-356,Regular Poll Ballots,000276440,Al Rose,Joyce McDonald,Carolyn Merrival
27-356,Regular Poll Ballots,000276441,Joyce McDonald,Al Rose,Carolyn Merrival
27-356,Regular Poll Ballots,000276442,Joyce McDonald,Al Rose,Carolyn Merrival
27-356,Regular Poll Ballots,000276443,Carolyn Merrival,Al Rose,skipped
27-356,Regular Poll Ballots,000276444,Joyce McDonald,Al Rose,Carolyn Merrival
27-356,Regular Poll Ballots,000276445,Carolyn Merrival,skipped,Carolyn Merrival
27-356,Regular Poll Ballots,000276446,Al Rose,Carolyn Merrival,skipped
27-356,Regular Poll Ballots,000276447,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276448,Joyce McDonald,Al Rose,Carolyn Merrival
27-356,Regular Poll Ballots,000276449,Carolyn Merrival,Al Rose,Joyce McDonald
27-356,Regular Poll Ballots,000276450,Carolyn Merrival,Joyce McDonald,Al Rose
27-356,Regular Poll Ballots,000276451,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276452,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276453,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276454,Joyce McDonald,Carolyn Merrival,Al Rose
27-356,Regular Poll Ballots,000276455,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276456,Carolyn Merrival,Carolyn Merrival,Carolyn Merrival
27-356,Regular Poll Ballots,000276457,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276458,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276459,Carolyn Merrival,Al Rose,skipped
27-356,Regular Poll Ballots,000276460,Joyce McDonald,Al Rose,Carolyn Merrival
27-356,Regular Poll Ballots,000276461,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276462,Al Rose,Al Rose,Al Rose
27-356,Regular Poll Ballots,000276463,Al Rose,Carolyn Merrival,skipped
27-356,Regular Poll Ballots,000276464,Al Rose,Al Rose,Al Rose
27-356,Regular Poll Ballots,000276465,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276466,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276467,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276468,Al Rose,Carolyn Merrival,skipped
27-356,Regular Poll Ballots,000276469,Al Rose,Joyce McDonald,skipped
27-356,Regular Poll Ballots,000276470,Joyce McDonald,Al Rose,Carolyn Merrival
27-356,Regular Poll Ballots,000276471,Joyce McDonald,Carolyn Merrival,Al Rose
27-356,Regular Poll Ballots,000276472,Al Rose,skipped,skipped
27-356,Regular Poll Ballots,000276473,Joyce McDonald,Carolyn Merrival,Al Rose
27-356,Regular Poll Ballots,000276474,Carolyn Merrival,Al Rose,skipped
27-356,Regular Poll Ballots,000276475,Carolyn Merrival,Al Rose,skipped
27-356,Regular Poll Ballots,000276476,Carolyn Merrival,Joyce McDonald,Al Rose
27-356,Regular Poll Ballots,000276477,Al Rose,Carolyn Merrival,skipped
27-356,Regular Poll Ballots,000276478,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276479,Carolyn Merrival,Al Rose,Joyce McDonald
27-356,Regular Poll Ballots,000276480,Joyce McDonald,Al Rose,skipped
27-356,Regular Poll Ballots,000276481,Joyce McDonald,Joyce McDonald,Joyce McDonald
27-356,Regular Poll Ballots,000276482,Joyce McDonald,Carolyn Merrival,skipped
27-356,Regular Poll Ballots,000276483,Al Rose,Carolyn Merrival,Al Rose
27-356,Regular Poll Ballots,000276484,Joyce McDonald,Al Rose,Carolyn Merrival
27-356,Regular Poll Ballots,000276485,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276486,Carolyn Merrival,Joyce McDonald,skipped
27-356,Regular Poll Ballots,000276487,Carolyn Merrival,Joyce McDonald,Al Rose
27-356,Regular Poll Ballots,000276488,Carolyn Merrival,Al Rose,Joyce McDonald
27-356,Regular Poll Ballots,000276489,Al Rose,Al Rose,Al Rose
27-356,Regular Poll Ballots,000276490,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276491,Joyce McDonald,Al Rose,Carolyn Merrival
27-356,Regular Poll Ballots,000276492,Joyce McDonald,Carolyn Merrival,Al Rose
27-356,Regular Poll Ballots,000276493,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276494,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276495,Al Rose,skipped,skipped
27-356,Regular Poll Ballots,000276496,Carolyn Merrival,Joyce McDonald,Al Rose
27-356,Regular Poll Ballots,000276497,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276498,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276499,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276500,Carolyn Merrival,Al Rose,Joyce McDonald
27-356,Regular Poll Ballots,000276501,Al Rose,Carolyn Merrival,writein
27-356,Regular Poll Ballots,000276502,Al Rose,Carolyn Merrival,skipped
27-356,Regular Poll Ballots,000276503,Al Rose,skipped,skipped
27-356,Regular Poll Ballots,000276504,Al Rose,Carolyn Merrival,skipped
27-356,Regular Poll Ballots,000276505,Joyce McDonald,Carolyn Merrival,Al Rose
27-356,Regular Poll Ballots,000276506,Joyce McDonald,Al Rose,Carolyn Merrival
27-356,Regular Poll Ballots,000276507,Joyce McDonald,Joyce McDonald,skipped
27-356,Regular Poll Ballots,000276508,Al Rose,skipped,skipped
27-356,Regular Poll Ballots,000276509,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276510,Joyce McDonald,Joyce McDonald,Joyce McDonald
27-356,Regular Poll Ballots,000276511,Al Rose,skipped,skipped
27-356,Regular Poll Ballots,000276512,Joyce McDonald,Joyce McDonald,Joyce McDonald
27-356,Regular Poll Ballots,000276513,Joyce McDonald,Al Rose,Carolyn Merrival
27-356,Regular Poll Ballots,000276514,Joyce McDonald,Al Rose,Carolyn Merrival
27-356,Regular Poll Ballots,000276515,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276516,Joyce McDonald,Carolyn Merrival,writein
27-356,Regular Poll Ballots,000276517,Joyce McDonald,Carolyn Merrival,Al Rose
27-356,Regular Poll Ballots,000276518,Carolyn Merrival,skipped,skipped
27-356,Regular Poll Ballots,000276519,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276520,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276521,Joyce McDonald,Al Rose,Carolyn Merrival
27-356,Regular Poll Ballots,000276522,Al Rose,skipped,skipped
27-356,Regular Poll Ballots,000276523,Al Rose,Carolyn Merrival,Carolyn Merrival
27-356,Regular Poll Ballots,000276524,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276525,Joyce McDonald,Al Rose,Carolyn Merrival
27-356,Regular Poll Ballots,000276526,Carolyn Merrival,skipped,skipped
27-356,Regular Poll Ballots,000276527,Al Rose,skipped,skipped
27-356,Regular Poll Ballots,000276528,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276529,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276530,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276531,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276532,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276533,Joyce McDonald,Al Rose,Carolyn Merrival
27-356,Regular Poll Ballots,000276534,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276535,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276536,Joyce McDonald,Carolyn Merrival,Al Rose
27-356,Regular Poll Ballots,000276537,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276538,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276539,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276540,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276541,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276542,Al Rose,Carolyn Merrival,skipped
27-356,Regular Poll Ballots,000276543,Joyce McDonald,Al Rose,Carolyn Merrival
27-356,Regular Poll Ballots,000276544,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276545,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276546,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276547,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276548,Carolyn Merrival,Al Rose,Joyce McDonald
27-356,Regular Poll Ballots,000276549,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276550,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276551,Al Rose,skipped,skipped
27-356,Regular Poll Ballots,000276552,Carolyn Merrival,Joyce McDonald,Al Rose
27-356,Regular Poll Ballots,000276553,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276554,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276555,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276556,Joyce McDonald,Al Rose,Carolyn Merrival
27-356,Regular Poll Ballots,000276557,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276558,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276559,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276560,Joyce McDonald,Al Rose,Carolyn Merrival
27-356,Regular Poll Ballots,000276561,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276562,Carolyn Merrival,Al Rose,skipped
27-356,Regular Poll Ballots,000276563,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276564,Al Rose,Carolyn Merrival,writein
27-356,Regular Poll Ballots,000276565,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276566,Carolyn Merrival,Al Rose,Joyce McDonald
27-356,Regular Poll Ballots,000276567,Joyce McDonald,skipped,skipped
27-356,Regular Poll Ballots,000276568,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276569,Al Rose,skipped,skipped
27-356,Regular Poll Ballots,000276570,Joyce McDonald,Al Rose,skipped
27-356,Regular Poll Ballots,000276571,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276572,Al Rose,Carolyn Merrival,skipped
27-356,Regular Poll Ballots,000276573,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276574,Al Rose,Al Rose,Al Rose
27-356,Regular Poll Ballots,000276575,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276576,Al Rose,Carolyn Merrival,skipped
27-356,Regular Poll Ballots,000276577,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276578,Joyce McDonald,Carolyn Merrival,Al Rose
27-356,Regular Poll Ballots,000276579,Al Rose,Carolyn Merrival,skipped
27-356,Regular Poll Ballots,000276580,Al Rose,Carolyn Merrival,skipped
27-356,Regular Poll Ballots,000276581,Carolyn Merrival,Al Rose,Joyce McDonald
27-356,Regular Poll Ballots,000276582,Al Rose,Al Rose,Al Rose
27-356,Regular Poll Ballots,000276583,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276584,Joyce McDonald,Carolyn Merrival,Al Rose
27-356,Regular Poll Ballots,000276585,Carolyn Merrival,skipped,skipped
27-356,Regular Poll Ballots,000276586,Al Rose,Carolyn Merrival,Al Rose
27-356,Regular Poll Ballots,000276587,Joyce McDonald,Carolyn Merrival,Al Rose
27-356,Regular Poll Ballots,000276588,Carolyn Merrival,Al Rose,skipped
27-356,Regular Poll Ballots,000276589,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276590,Carolyn Merrival,Carolyn Merrival,Carolyn Merrival
27-356,Regular Poll Ballots,000276591,Al Rose,Carolyn Merrival,skipped
27-356,Regular Poll Ballots,000276592,Carolyn Merrival,skipped,skipped
27-356,Regular Poll Ballots,000276593,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276594,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276595,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276596,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276597,Carolyn Merrival,Joyce McDonald,Al Rose
27-356,Regular Poll Ballots,000276598,skipped,skipped,skipped
27-356,Regular Poll Ballots,000276599,Al Rose,Carolyn Merrival,Joyce McDonald
27-356,Regular Poll Ballots,000276600,Carolyn Merrival,Joyce McDonald,Al Rose
27-356,Regular Poll Ballots,000276601,skipped,skipped,skipped
25-110,Regular Poll Ballots,000287561,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-110,Regular Poll Ballots,000287562,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287563,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287564,Joyce McDonald,Al Rose,Carolyn Merrival
25-110,Regular Poll Ballots,000287565,Joyce McDonald,Carolyn Merrival,skipped
25-110,Regular Poll Ballots,000287566,Carolyn Merrival,Al Rose,Joyce McDonald
25-110,Regular Poll Ballots,000287567,Joyce McDonald,Al Rose,skipped
25-110,Regular Poll Ballots,000287568,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-110,Regular Poll Ballots,000287569,Al Rose,Joyce McDonald,Carolyn Merrival
25-110,Regular Poll Ballots,000287570,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287571,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287572,Carolyn Merrival,skipped,skipped
25-110,Regular Poll Ballots,000287573,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287574,Carolyn Merrival,Al Rose,Joyce McDonald
25-110,Regular Poll Ballots,000287575,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287576,Joyce McDonald,Al Rose,Carolyn Merrival
25-110,Regular Poll Ballots,000287577,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287578,Joyce McDonald,Al Rose,skipped
25-110,Regular Poll Ballots,000287579,Carolyn Merrival,Al Rose,Joyce McDonald
25-110,Regular Poll Ballots,000287580,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287581,Joyce McDonald,Al Rose,Carolyn Merrival
25-110,Regular Poll Ballots,000287582,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287583,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287584,Joyce McDonald,Al Rose,Carolyn Merrival
25-110,Regular Poll Ballots,000287585,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287586,Al Rose,Carolyn Merrival,Joyce McDonald
25-110,Regular Poll Ballots,000287587,Al Rose,skipped,skipped
25-110,Regular Poll Ballots,000287588,skipped,skipped,skipped
25-110,Regular Poll Ballots,000287589,Al Rose,Carolyn Merrival,Joyce McDonald
25-110,Regular Poll Ballots,000287590,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287591,Carolyn Merrival,Al Rose,Joyce McDonald
25-110,Regular Poll Ballots,000287592,Joyce McDonald,Carolyn Merrival,skipped
25-110,Regular Poll Ballots,000287593,Joyce McDonald,Al Rose,Carolyn Merrival
25-110,Regular Poll Ballots,000287594,Carolyn Merrival,Al Rose,Joyce McDonald
25-110,Regular Poll Ballots,000287595,Joyce McDonald,Al Rose,skipped
25-110,Regular Poll Ballots,000287596,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-110,Regular Poll Ballots,000287597,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287598,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287599,Carolyn Merrival,Al Rose,Joyce McDonald
25-110,Regular Poll Ballots,000287600,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287601,Carolyn Merrival,Al Rose,Joyce McDonald
25-110,Regular Poll Ballots,000287602,Joyce McDonald,Al Rose,Carolyn Merrival
25-110,Regular Poll Ballots,000287603,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287604,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287605,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287606,skipped,skipped,skipped
25-110,Regular Poll Ballots,000287607,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287608,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287609,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287610,Joyce McDonald,Al Rose,Carolyn Merrival
25-110,Regular Poll Ballots,000287611,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287612,Carolyn Merrival,Joyce McDonald,Al Rose
25-110,Regular Poll Ballots,000287613,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287614,Al Rose,Joyce McDonald,Carolyn Merrival
25-110,Regular Poll Ballots,000287615,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287616,Al Rose,Carolyn Merrival,skipped
25-110,Regular Poll Ballots,000287617,Al Rose,Carolyn Merrival,skipped
25-110,Regular Poll Ballots,000287618,Carolyn Merrival,Joyce McDonald,skipped
25-110,Regular Poll Ballots,000287619,Joyce McDonald,Al Rose,Carolyn Merrival
25-110,Regular Poll Ballots,000287620,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287621,Joyce McDonald,Al Rose,Carolyn Merrival
25-110,Regular Poll Ballots,000287622,Carolyn Merrival,Carolyn Merrival,Carolyn Merrival
25-110,Regular Poll Ballots,000287623,Joyce McDonald,Al Rose,Carolyn Merrival
25-110,Regular Poll Ballots,000287624,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287625,Carolyn Merrival,Joyce McDonald,Al Rose
25-110,Regular Poll Ballots,000287626,Al Rose,Carolyn Merrival,skipped
25-110,Regular Poll Ballots,000287627,Joyce McDonald,Al Rose,Carolyn Merrival
25-110,Regular Poll Ballots,000287628,Al Rose,Carolyn Merrival,skipped
25-110,Regular Poll Ballots,000287629,Al Rose,Carolyn Merrival,skipped
25-110,Regular Poll Ballots,000287630,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287631,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287632,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287633,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287634,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287635,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287636,Al Rose,Carolyn Merrival,Joyce McDonald
25-110,Regular Poll Ballots,000287637,Carolyn Merrival,Al Rose,Joyce McDonald
25-110,Regular Poll Ballots,000287638,skipped,skipped,skipped
25-110,Regular Poll Ballots,000287639,Al Rose,Carolyn Merrival,Joyce McDonald
25-110,Regular Poll Ballots,000287640,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287641,skipped,skipped,skipped
25-110,Regular Poll Ballots,000287642,Joyce McDonald,Al Rose,Carolyn Merrival
25-110,Regular Poll Ballots,000287643,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287644,Carolyn Merrival,Carolyn Merrival,Carolyn Merrival
25-110,Regular Poll Ballots,000287645,Carolyn Merrival,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287646,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287647,Al Rose,Carolyn Merrival,writein
25-110,Regular Poll Ballots,000287648,skipped,skipped,skipped
25-110,Regular Poll Ballots,000287649,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287650,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287651,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287652,Al Rose,skipped,skipped
25-110,Regular Poll Ballots,000287653,skipped,skipped,skipped
25-110,Regular Poll Ballots,000287654,Al Rose,Carolyn Merrival,Joyce McDonald
25-110,Regular Poll Ballots,000287655,Joyce McDonald,Al Rose,Carolyn Merrival
25-110,Regular Poll Ballots,000287656,Joyce McDonald,Al Rose,Carolyn Merrival
25-110,Regular Poll Ballots,000287657,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287658,Joyce McDonald,Al Rose,Carolyn Merrival
25-110,Regular Poll Ballots,000287659,Joyce McDonald,Al Rose,Carolyn Merrival
25-110,Regular Poll Ballots,000287660,Joyce McDonald,Joyce McDonald,skipped
25-110,Regular Poll Ballots,000287661,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287662,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287663,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287664,Carolyn Merrival,Al Rose,Carolyn Merrival
25-110,Regular Poll Ballots,000287665,Carolyn Merrival,Al Rose,Joyce McDonald
25-110,Regular Poll Ballots,000287666,Al Rose,Al Rose,Carolyn Merrival
25-110,Regular Poll Ballots,000287667,Joyce McDonald,Al Rose,Carolyn Merrival
25-110,Regular Poll Ballots,000287668,Al Rose,Carolyn Merrival,Joyce McDonald
25-110,Regular Poll Ballots,000287669,Al Rose,Carolyn Merrival,Joyce McDonald
25-110,Regular Poll Ballots,000287670,skipped,skipped,skipped
25-110,Regular Poll Ballots,000287671,Joyce McDonald,Al Rose,skipped
25-110,Regular Poll Ballots,000287672,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287673,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287674,Al Rose,Carolyn Merrival,Joyce McDonald
25-110,Regular Poll Ballots,000287675,Joyce McDonald,Al Rose,Carolyn Merrival
25-110,Regular Poll Ballots,000287676,Carolyn Merrival,Al Rose,Joyce McDonald
25-110,Regular Poll Ballots,000287677,Carolyn Merrival,Carolyn Merrival,Carolyn Merrival
25-110,Regular Poll Ballots,000287678,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287679,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287680,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287681,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287682,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287683,Al Rose,Carolyn Merrival,Joyce McDonald
25-110,Regular Poll Ballots,000287684,Carolyn Merrival,Al Rose,Joyce McDonald
25-110,Regular Poll Ballots,000287685,Al Rose,Carolyn Merrival,skipped
25-110,Regular Poll Ballots,000287686,Joyce McDonald,writein,Al Rose
25-110,Regular Poll Ballots,000287687,Joyce McDonald,skipped,skipped
25-110,Regular Poll Ballots,000287688,Al Rose,Al Rose,Al Rose
25-110,Regular Poll Ballots,000287689,Al Rose,skipped,skipped
25-110,Regular Poll Ballots,000287690,Al Rose,Carolyn Merrival,skipped
25-110,Regular Poll Ballots,000287691,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-110,Regular Poll Ballots,000287692,Joyce McDonald,Carolyn Merrival,Al Rose
25-110,Regular Poll Ballots,000287693,Al Rose,Carolyn Merrival,Joyce McDonald
25-110,Regular Poll Ballots,000287694,Al Rose,Al Rose,Al Rose
25-110,Regular Poll Ballots,000287695,Carolyn Merrival,Al Rose,Joyce McDonald
25-110,Regular Poll Ballots,000287696,Joyce McDonald,Al Rose,Carolyn Merrival
25-110,Regular Poll Ballots,000287697,skipped,skipped,skipped
25-110,Regular Poll Ballots,000287698,skipped,skipped,skipped
25-110,Regular Poll Ballots,000287699,skipped,skipped,skipped
25-110,Regular Poll Ballots,000287700,skipped,skipped,skipped
25-110,Regular Poll Ballots,000287701,skipped,skipped,skipped
25-110,Regular Poll Ballots,000287702,skipped,skipped,skipped
25-111,Regular Poll Ballots,000287703,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-111,Regular Poll Ballots,000287704,Joyce McDonald,Carolyn Merrival,Al Rose
25-111,Regular Poll Ballots,000287705,Joyce McDonald,Carolyn Merrival,Al Rose
25-111,Regular Poll Ballots,000287706,Joyce McDonald,skipped,skipped
25-111,Regular Poll Ballots,000287707,Joyce McDonald,Al Rose,Carolyn Merrival
25-111,Regular Poll Ballots,000287708,Joyce McDonald,Al Rose,Carolyn Merrival
25-111,Regular Poll Ballots,000287709,Joyce McDonald,Al Rose,Carolyn Merrival
25-111,Regular Poll Ballots,000287710,Al Rose,Joyce McDonald,Carolyn Merrival
25-111,Regular Poll Ballots,000287711,Carolyn Merrival,Joyce McDonald,Al Rose
25-111,Regular Poll Ballots,000287712,Joyce McDonald,Carolyn Merrival,Al Rose
