BallotType,BatchId,CountingGroup,CvrNumber,ImprintedId,PrecinctPortion,RecordId,TabulatorNum,rank1,rank2,rank3,rank4,rank5
8 (8),217,Vote by Mail,3767,1006-217-37,261300 (0056),37,1006,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped,skipped
8 (8),217,Vote by Mail,3768,1006-217-646,261300 (0056),646,1006,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),217,Vote by Mail,3769,1006-217-637,261300 (0056),637,1006,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,skipped
8 (8),217,Vote by Mail,3770,1006-217-636,261300 (0056),636,1006,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,skipped,skipped
8 (8),217,Vote by Mail,3771,1006-217-631,261300 (0056),631,1006,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,skipped
8 (8),217,Vote by Mail,3772,1006-217-573,261300 (0056),573,1006,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,skipped
8 (8),217,Vote by Mail,3773,1006-217-403,261300 (0056),403,1006,NICK PILCH,skipped,skipped,skipped,skipped
8 (8),217,Vote by Mail,3774,1006-217-313,261300 (0056),313,1006,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,skipped,skipped
8 (8),217,Vote by Mail,3775,1006-217-248,261300 (0056),248,1006,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3776,1006-217-48,261300 (0056),48,1006,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,skipped,skipped
8 (8),217,Vote by Mail,3777,1006-217-558,261300 (0056),558,1006,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3778,1006-217-553,261300 (0056),553,1006,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,skipped,skipped
8 (8),217,Vote by Mail,3779,1006-217-413,261300 (0056),413,1006,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3780,1006-217-408,261300 (0056),408,1006,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped,skipped
8 (8),217,Vote by Mail,3781,1006-217-308,261300 (0056),308,1006,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3782,1006-217-243,261300 (0056),243,1006,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ
8 (8),217,Vote by Mail,3783,1006-217-123,261300 (0056),123,1006,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,NICK PILCH,ROBIN D  LOPEZ
8 (8),217,Vote by Mail,3784,1006-217-53,261300 (0056),53,1006,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,skipped,skipped
8 (8),217,Vote by Mail,3785,1006-217-596,261300 (0056),596,1006,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3786,1006-217-591,261300 (0056),591,1006,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3787,1006-217-483,261300 (0056),483,1006,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),217,Vote by Mail,3788,1006-217-358,261300 (0056),358,1006,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,skipped,skipped,skipped
8 (8),217,Vote by Mail,3789,1006-217-298,261300 (0056),298,1006,JENNIFER HANSEN ROMERO,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3790,1006-217-223,261300 (0056),223,1006,JENNIFER HANSEN ROMERO,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3791,1006-217-103,261300 (0056),103,1006,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3792,1006-217-43,261300 (0056),43,1006,JOHN ANTHONY MIKI,skipped,skipped,skipped,skipped
8 (8),217,Vote by Mail,3793,1006-217-656,261300 (0056),656,1006,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3794,1006-217-433,261300 (0056),433,1006,JENNIFER HANSEN ROMERO,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped
8 (8),217,Vote by Mail,3795,1006-217-428,261300 (0056),428,1006,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,skipped,skipped,skipped
8 (8),217,Vote by Mail,3796,1006-217-423,261300 (0056),423,1006,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,skipped,skipped,skipped
8 (8),217,Vote by Mail,3797,1006-217-333,261300 (0056),333,1006,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI
8 (8),217,Vote by Mail,3798,1006-217-328,261300 (0056),328,1006,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped
8 (8),217,Vote by Mail,3799,1006-217-263,261300 (0056),263,1006,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,skipped
8 (8),217,Vote by Mail,3800,1006-217-193,261300 (0056),193,1006,JENNIFER HANSEN ROMERO,NICK PILCH,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ
8 (8),217,Vote by Mail,3801,1006-217-138,261300 (0056),138,1006,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3802,1006-217-108,261300 (0056),108,1006,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,skipped
8 (8),217,Vote by Mail,3803,1006-217-73,261300 (0056),73,1006,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,skipped
8 (8),217,Vote by Mail,3804,1006-217-611,261300 (0056),611,1006,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped,skipped
8 (8),217,Vote by Mail,3805,1006-217-523,261300 (0056),523,1006,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3806,1006-217-398,261300 (0056),398,1006,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO
8 (8),217,Vote by Mail,3807,1006-217-158,261300 (0056),158,1006,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3808,1006-217-118,261300 (0056),118,1006,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3809,1006-217-78,261300 (0056),78,1006,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3810,1006-217-586,261300 (0056),586,1006,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3811,1006-217-548,261300 (0056),548,1006,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,skipped,skipped
8 (8),217,Vote by Mail,3812,1006-217-543,261300 (0056),543,1006,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3813,1006-217-463,261300 (0056),463,1006,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,skipped,skipped
8 (8),217,Vote by Mail,3814,1006-217-363,261300 (0056),363,1006,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,skipped,skipped
8 (8),217,Vote by Mail,3815,1006-217-268,261300 (0056),268,1006,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,skipped,skipped
8 (8),217,Vote by Mail,3816,1006-217-203,261300 (0056),203,1006,JENNIFER HANSEN ROMERO,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3817,1006-217-168,261300 (0056),168,1006,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3818,1006-217-113,261300 (0056),113,1006,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3819,1006-217-621,261300 (0056),621,1006,JEREMIAH GARRETT PINGUELO,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO
8 (8),217,Vote by Mail,3820,1006-217-616,261300 (0056),616,1006,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,skipped
8 (8),217,Vote by Mail,3821,1006-217-348,261300 (0056),348,1006,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3822,1006-217-343,261300 (0056),343,1006,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),217,Vote by Mail,3823,1006-217-213,261300 (0056),213,1006,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3824,1006-217-98,261300 (0056),98,1006,JENNIFER HANSEN ROMERO,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3825,1006-217-581,261300 (0056),581,1006,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,skipped,skipped,skipped
8 (8),217,Vote by Mail,3826,1006-217-578,261300 (0056),578,1006,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped,skipped
8 (8),217,Vote by Mail,3827,1006-217-478,261300 (0056),478,1006,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,skipped,skipped
8 (8),217,Vote by Mail,3828,1006-217-473,261300 (0056),473,1006,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,skipped,skipped
8 (8),217,Vote by Mail,3829,1006-217-323,261300 (0056),323,1006,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped
8 (8),217,Vote by Mail,3830,1006-217-258,261300 (0056),258,1006,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3835,1006-217-25,261300 (0056),25,1006,ROBIN D  LOPEZ,Write in,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI
8 (8),217,Vote by Mail,3841,1006-217-173,261300 (0056),173,1006,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO
8 (8),217,Vote by Mail,3842,1006-217-528,261300 (0056),528,1006,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,skipped,skipped,skipped
8 (8),217,Vote by Mail,3846,1006-217-300,261300 (0056),300,1006,overvote,skipped,skipped,skipped,skipped
8 (8),217,Vote by Mail,3847,1006-217-533,261300 (0056),533,1006,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped
8 (8),217,Vote by Mail,3848,1006-217-293,261300 (0056),293,1006,NICK PILCH,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),217,Vote by Mail,3850,1006-217-353,261300 (0056),353,1006,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),134,Vote by Mail,3852,1009-134-706,262000 (0057),706,1009,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3853,1009-134-701,262000 (0057),701,1009,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3854,1009-134-696,262000 (0057),696,1009,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3855,1009-134-451,262000 (0057),451,1009,JENNIFER HANSEN ROMERO,skipped,skipped,skipped,skipped
8 (8),134,Vote by Mail,3856,1009-134-446,262000 (0057),446,1009,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped
8 (8),134,Vote by Mail,3857,1009-134-441,262000 (0057),441,1009,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,skipped,skipped,skipped
8 (8),134,Vote by Mail,3858,1009-134-355,262000 (0057),355,1009,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,skipped
8 (8),134,Vote by Mail,3860,1009-134-205,262000 (0057),205,1009,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,skipped
8 (8),134,Vote by Mail,3861,1009-134-175,262000 (0057),175,1009,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,NICK PILCH,skipped
8 (8),134,Vote by Mail,3862,1009-134-135,262000 (0057),135,1009,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,NICK PILCH,skipped,skipped
8 (8),134,Vote by Mail,3863,1009-134-100,262000 (0057),100,1009,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped,skipped
8 (8),134,Vote by Mail,3864,1009-134-75,262000 (0057),75,1009,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO,NICK PILCH
8 (8),134,Vote by Mail,3865,1009-134-55,262000 (0057),55,1009,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3866,1009-134-20,262000 (0057),20,1009,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,skipped,skipped
8 (8),134,Vote by Mail,3867,1009-134-5,262000 (0057),5,1009,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3868,1009-134-741,262000 (0057),741,1009,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3869,1009-134-736,262000 (0057),736,1009,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),134,Vote by Mail,3870,1009-134-731,262000 (0057),731,1009,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3871,1009-134-602,262000 (0057),602,1009,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,skipped
8 (8),134,Vote by Mail,3872,1009-134-476,262000 (0057),476,1009,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,NICK PILCH,JENNIFER HANSEN ROMERO
8 (8),134,Vote by Mail,3873,1009-134-471,262000 (0057),471,1009,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,skipped
8 (8),134,Vote by Mail,3874,1009-134-330,262000 (0057),330,1009,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3875,1009-134-230,262000 (0057),230,1009,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,skipped,skipped,skipped
8 (8),134,Vote by Mail,3876,1009-134-145,262000 (0057),145,1009,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3877,1009-134-10,262000 (0057),10,1009,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,NICK PILCH,ROBIN D  LOPEZ
8 (8),134,Vote by Mail,3878,1009-134-646,262000 (0057),646,1009,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,skipped,skipped
8 (8),134,Vote by Mail,3879,1009-134-641,262000 (0057),641,1009,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,skipped
8 (8),134,Vote by Mail,3880,1009-134-539,262000 (0057),539,1009,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped
8 (8),134,Vote by Mail,3881,1009-134-537,262000 (0057),537,1009,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,skipped,skipped
8 (8),134,Vote by Mail,3882,1009-134-396,262000 (0057),396,1009,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3883,1009-134-310,262000 (0057),310,1009,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3884,1009-134-250,262000 (0057),250,1009,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,skipped
8 (8),134,Vote by Mail,3885,1009-134-190,262000 (0057),190,1009,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,skipped
8 (8),134,Vote by Mail,3886,1009-134-90,262000 (0057),90,1009,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped,skipped
8 (8),134,Vote by Mail,3887,1009-134-15,262000 (0057),15,1009,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3888,1009-134-676,262000 (0057),676,1009,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped,skipped
8 (8),134,Vote by Mail,3889,1009-134-671,262000 (0057),671,1009,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped
8 (8),134,Vote by Mail,3890,1009-134-666,262000 (0057),666,1009,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3891,1009-134-577,262000 (0057),577,1009,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3892,1009-134-547,262000 (0057),547,1009,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3893,1009-134-436,262000 (0057),436,1009,JENNIFER HANSEN ROMERO,skipped,skipped,skipped,skipped
8 (8),134,Vote by Mail,3894,1009-134-431,262000 (0057),431,1009,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,NICK PILCH
8 (8),134,Vote by Mail,3895,1009-134-340,262000 (0057),340,1009,JENNIFER HANSEN ROMERO,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3896,1009-134-259,262000 (0057),259,1009,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3897,1009-134-195,262000 (0057),195,1009,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3898,1009-134-155,262000 (0057),155,1009,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI
8 (8),134,Vote by Mail,3899,1009-134-70,262000 (0057),70,1009,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,NICK PILCH
8 (8),134,Vote by Mail,3900,1009-134-25,262000 (0057),25,1009,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),134,Vote by Mail,3901,1009-134-765,262000 (0057),765,1009,NICK PILCH,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped
8 (8),134,Vote by Mail,3902,1009-134-761,262000 (0057),761,1009,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,skipped
8 (8),134,Vote by Mail,3903,1009-134-626,262000 (0057),626,1009,JENNIFER HANSEN ROMERO,skipped,skipped,skipped,skipped
8 (8),134,Vote by Mail,3904,1009-134-501,262000 (0057),501,1009,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3905,1009-134-496,262000 (0057),496,1009,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,skipped
8 (8),134,Vote by Mail,3906,1009-134-350,262000 (0057),350,1009,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),134,Vote by Mail,3907,1009-134-345,262000 (0057),345,1009,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3908,1009-134-290,262000 (0057),290,1009,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,skipped,skipped
8 (8),134,Vote by Mail,3909,1009-134-225,262000 (0057),225,1009,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,skipped,skipped,skipped
8 (8),134,Vote by Mail,3910,1009-134-60,262000 (0057),60,1009,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3911,1009-134-30,262000 (0057),30,1009,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO,NICK PILCH
8 (8),134,Vote by Mail,3912,1009-134-726,262000 (0057),726,1009,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO
8 (8),134,Vote by Mail,3913,1009-134-721,262000 (0057),721,1009,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO,skipped
8 (8),134,Vote by Mail,3914,1009-134-716,262000 (0057),716,1009,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI
8 (8),134,Vote by Mail,3915,1009-134-711,262000 (0057),711,1009,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3916,1009-134-466,262000 (0057),466,1009,NICK PILCH,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI
8 (8),134,Vote by Mail,3917,1009-134-461,262000 (0057),461,1009,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,skipped
8 (8),134,Vote by Mail,3918,1009-134-456,262000 (0057),456,1009,JENNIFER HANSEN ROMERO,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3919,1009-134-380,262000 (0057),380,1009,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,skipped,skipped
8 (8),134,Vote by Mail,3920,1009-134-295,262000 (0057),295,1009,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,skipped,skipped
8 (8),134,Vote by Mail,3921,1009-134-218,262000 (0057),218,1009,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),134,Vote by Mail,3922,1009-134-180,262000 (0057),180,1009,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
