Cast Vote Record,Precinct,Ballot Style,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11
4680,Portland 4-1,Ballot Style 4,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Washburn, Patricia J.","Rovelto, Hope R.","Houseal, Ian P.","Grant, Benjamin K.","Emerson, Anthony M.","DiMillo, Steven A.","Buxton, Catherine A.","Bailey, William M."
4681,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Bailey, William M.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.","Grant, Benjamin K.","Rovelto, Hope R.","Condrey, Lawson T.","Houseal, Ian P.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A."
4682,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Bailey, William M.","Chann, Marpheen S.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4683,Portland 4-1,Ballot Style 4,"Emerson, Anthony M.","Chann, Marpheen S.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote
4684,Portland 4-1,Ballot Style 4,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4685,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4686,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Condrey, Lawson T.","Washburn, Patricia J.","Emerson, Anthony M.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote
4687,Portland 4-1,Ballot Style 4,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4688,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Chann, Marpheen S.","Rovelto, Hope R.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4689,Portland 4-1,Ballot Style 4,overvote,overvote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4690,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Chann, Marpheen S.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4691,Portland 4-1,Ballot Style 4,"Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4692,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4693,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4694,Portland 4-1,Ballot Style 4,"Chann, Marpheen S.","Bailey, William M.","DiMillo, Steven A.","Emerson, Anthony M.","Buxton, Catherine A.","Condrey, Lawson T.","Grant, Benjamin K.","Houseal, Ian P.","Rovelto, Hope R.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J."
4695,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4696,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","DiMillo, Steven A.","DiMillo, Steven A.","DiMillo, Steven A.","DiMillo, Steven A.","DiMillo, Steven A.","DiMillo, Steven A.","DiMillo, Steven A.","DiMillo, Steven A.","DiMillo, Steven A.","DiMillo, Steven A."
4697,Portland 4-1,Ballot Style 4,"Buxton, Catherine A.","DiMillo, Steven A.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4698,Portland 4-1,Ballot Style 4,"Chann, Marpheen S.","Houseal, Ian P.","DiMillo, Steven A.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4699,Portland 4-1,Ballot Style 4,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Grant, Benjamin K.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote
4700,Portland 4-1,Ballot Style 4,"Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Condrey, Lawson T.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote
4701,Portland 4-1,Ballot Style 4,"Grant, Benjamin K.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4702,Portland 4-1,Ballot Style 4,"Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4703,Portland 4-1,Ballot Style 4,"Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4704,Portland 4-1,Ballot Style 4,"Grant, Benjamin K.","Chann, Marpheen S.","Condrey, Lawson T.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4705,Portland 4-1,Ballot Style 4,"Chann, Marpheen S.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4706,Portland 4-1,Ballot Style 4,"Buxton, Catherine A.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Rovelto, Hope R.",undervote,undervote,undervote,undervote,undervote,undervote
4707,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Grant, Benjamin K.","Washburn, Patricia J.","Emerson, Anthony M.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote
4708,Portland 4-1,Ballot Style 4,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4709,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4710,Portland 4-1,Ballot Style 4,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4711,Portland 4-1,Ballot Style 4,"Emerson, Anthony M.","Bailey, William M.","Washburn, Patricia J.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Houseal, Ian P.","Rovelto, Hope R.","Condrey, Lawson T.","Buxton, Catherine A.","DiMillo, Steven A."
4712,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Houseal, Ian P.","Chann, Marpheen S.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4713,Portland 4-1,Ballot Style 4,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4714,Portland 4-1,Ballot Style 4,"Bailey, William M.","Condrey, Lawson T.","DiMillo, Steven A.","Emerson, Anthony M.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote
4715,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4716,Portland 4-1,Ballot Style 4,"Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4717,Portland 4-1,Ballot Style 4,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Washburn, Patricia J.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote
4718,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Chann, Marpheen S.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4719,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4720,Portland 4-1,Ballot Style 4,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4721,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Bailey, William M.","Chann, Marpheen S.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4722,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Emerson, Anthony M.","Buxton, Catherine A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote
4723,Portland 4-1,Ballot Style 4,"Houseal, Ian P.","Grant, Benjamin K.","DiMillo, Steven A.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4724,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Sheikh-Yousef, Nasreen A.","Rovelto, Hope R.","Bailey, William M.","Chann, Marpheen S.","Washburn, Patricia J.","Buxton, Catherine A.","Condrey, Lawson T.","Emerson, Anthony M.","Grant, Benjamin K.","Houseal, Ian P."
4725,Portland 4-1,Ballot Style 4,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Grant, Benjamin K.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote
4726,Portland 4-1,Ballot Style 4,"Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Houseal, Ian P.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4727,Portland 4-1,Ballot Style 4,"Grant, Benjamin K.","Chann, Marpheen S.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote
4728,Portland 4-1,Ballot Style 4,"Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.",undervote,"Emerson, Anthony M.","DiMillo, Steven A.","Chann, Marpheen S.","Buxton, Catherine A.","Bailey, William M.","Condrey, Lawson T.","Grant, Benjamin K.","Rovelto, Hope R."
4729,Portland 4-1,Ballot Style 4,"Grant, Benjamin K.","Chann, Marpheen S.","DiMillo, Steven A.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4730,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4731,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4732,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4733,Portland 4-1,Ballot Style 4,undervote,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4734,Portland 4-1,Ballot Style 4,"Grant, Benjamin K.","Chann, Marpheen S.","DiMillo, Steven A.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4735,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4736,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4737,Portland 4-1,Ballot Style 4,"Buxton, Catherine A.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4738,Portland 4-1,Ballot Style 4,"Chann, Marpheen S.","Grant, Benjamin K.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4739,Portland 4-1,Ballot Style 4,"Washburn, Patricia J.","Buxton, Catherine A.","Bailey, William M.","Grant, Benjamin K.","Emerson, Anthony M.","Condrey, Lawson T.","Chann, Marpheen S.","DiMillo, Steven A.","Houseal, Ian P.","Rovelto, Hope R.","Sheikh-Yousef, Nasreen A."
4740,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4741,Portland 4-1,Ballot Style 4,"Chann, Marpheen S.","DiMillo, Steven A.","Grant, Benjamin K.","Buxton, Catherine A.","Washburn, Patricia J.","Houseal, Ian P.","Rovelto, Hope R.","Emerson, Anthony M.","Condrey, Lawson T.","Bailey, William M.","Sheikh-Yousef, Nasreen A."
4742,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Chann, Marpheen S.","Bailey, William M.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4743,Portland 4-1,Ballot Style 4,"Chann, Marpheen S.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4744,Portland 4-1,Ballot Style 4,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4745,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Chann, Marpheen S.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4746,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Rovelto, Hope R.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4747,Portland 4-1,Ballot Style 4,"Grant, Benjamin K.","DiMillo, Steven A.","Chann, Marpheen S.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4748,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4749,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4750,Portland 4-1,Ballot Style 4,"Washburn, Patricia J.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4751,Portland 4-1,Ballot Style 4,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4752,Portland 4-1,Ballot Style 4,"Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4753,Portland 4-1,Ballot Style 4,"Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4754,Portland 4-1,Ballot Style 4,"Bailey, William M.","Condrey, Lawson T.","Chann, Marpheen S.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4755,Portland 4-1,Ballot Style 4,"Grant, Benjamin K.","Condrey, Lawson T.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4756,Portland 4-1,Ballot Style 4,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4757,Portland 4-1,Ballot Style 4,"Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4758,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Buxton, Catherine A.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4759,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Grant, Benjamin K.","Buxton, Catherine A.","Chann, Marpheen S.","Emerson, Anthony M.","Condrey, Lawson T.","Bailey, William M.",undervote,undervote,undervote
4760,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Bailey, William M.","Chann, Marpheen S.","Houseal, Ian P.","Grant, Benjamin K.","Condrey, Lawson T.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.",undervote
4761,Portland 4-1,Ballot Style 4,"Washburn, Patricia J.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Bailey, William M.","Condrey, Lawson T.","Emerson, Anthony M.","Grant, Benjamin K.","Houseal, Ian P.","Rovelto, Hope R.","DiMillo, Steven A."
4762,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","DiMillo, Steven A.","DiMillo, Steven A.","DiMillo, Steven A.","DiMillo, Steven A.","DiMillo, Steven A.","DiMillo, Steven A.","DiMillo, Steven A.","DiMillo, Steven A.","DiMillo, Steven A.","DiMillo, Steven A."
4763,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4764,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Rovelto, Hope R.","Washburn, Patricia J.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote
4765,Portland 4-1,Ballot Style 4,"Buxton, Catherine A.","Chann, Marpheen S.","Condrey, Lawson T.","Emerson, Anthony M.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Houseal, Ian P.","Bailey, William M.","DiMillo, Steven A.","Rovelto, Hope R."
4766,Portland 4-1,Ballot Style 4,"Buxton, Catherine A.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4767,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Chann, Marpheen S.","Emerson, Anthony M.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote
4768,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Bailey, William M.","Chann, Marpheen S.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4769,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4770,Portland 4-1,Ballot Style 4,"Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4771,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Buxton, Catherine A.","Rovelto, Hope R.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote
4772,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4773,Portland 4-1,Ballot Style 4,"Bailey, William M.","DiMillo, Steven A.","Chann, Marpheen S.","Houseal, Ian P.",undervote,undervote,undervote,undervote,"Grant, Benjamin K.",undervote,"Buxton, Catherine A."
4774,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4775,Portland 4-1,Ballot Style 4,"Bailey, William M.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4776,Portland 4-1,Ballot Style 4,"Condrey, Lawson T.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Chann, Marpheen S.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote
4777,Portland 4-1,Ballot Style 4,"Grant, Benjamin K.","Chann, Marpheen S.","Washburn, Patricia J.","Emerson, Anthony M.","Condrey, Lawson T.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.",undervote,undervote,undervote,undervote
4778,Portland 4-1,Ballot Style 4,"Washburn, Patricia J.","Buxton, Catherine A.","Condrey, Lawson T.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Chann, Marpheen S.","Grant, Benjamin K.","Rovelto, Hope R.","Houseal, Ian P.","Bailey, William M.","DiMillo, Steven A."
4779,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote
4780,Portland 4-1,Ballot Style 4,"Grant, Benjamin K.","Houseal, Ian P.","Condrey, Lawson T.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4781,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4782,Portland 4-1,Ballot Style 4,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4783,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Condrey, Lawson T.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4784,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Bailey, William M.","Chann, Marpheen S.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4785,Portland 4-1,Ballot Style 4,"Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4786,Portland 4-1,Ballot Style 4,"Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4787,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Bailey, William M.","Chann, Marpheen S.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4788,Portland 4-1,Ballot Style 4,"Grant, Benjamin K.","Washburn, Patricia J.","DiMillo, Steven A.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4789,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4790,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4791,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4792,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Houseal, Ian P.","Buxton, Catherine A.","Washburn, Patricia J.","Chann, Marpheen S.","Condrey, Lawson T.","Emerson, Anthony M.",undervote,undervote,undervote,undervote
4793,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4794,Portland 4-1,Ballot Style 4,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4795,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4796,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4797,Portland 4-1,Ballot Style 4,"Chann, Marpheen S.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Condrey, Lawson T.","Emerson, Anthony M.","Washburn, Patricia J.","Houseal, Ian P.","Bailey, William M.","DiMillo, Steven A.","Rovelto, Hope R."
4798,Portland 4-1,Ballot Style 4,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Condrey, Lawson T.","Washburn, Patricia J.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote
4799,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4800,Portland 4-1,Ballot Style 4,"Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4801,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Bailey, William M.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4802,Portland 4-1,Ballot Style 4,"Buxton, Catherine A.","Chann, Marpheen S.","Condrey, Lawson T.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4803,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Condrey, Lawson T.","Emerson, Anthony M.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote
4804,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Houseal, Ian P.","Bailey, William M.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4805,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Buxton, Catherine A.","Bailey, William M.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4806,Portland 4-1,Ballot Style 4,"Grant, Benjamin K.","Chann, Marpheen S.","Buxton, Catherine A.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote
4807,Portland 4-1,Ballot Style 4,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4808,Portland 4-1,Ballot Style 4,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4809,Portland 4-1,Ballot Style 4,"Chann, Marpheen S.","DiMillo, Steven A.","Grant, Benjamin K.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4810,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Houseal, Ian P.","Chann, Marpheen S.","Grant, Benjamin K.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote
4811,Portland 4-1,Ballot Style 4,"Grant, Benjamin K.","DiMillo, Steven A.","Emerson, Anthony M.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
4812,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
4813,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Houseal, Ian P.","Bailey, William M.","Buxton, Catherine A.","DiMillo, Steven A.","Condrey, Lawson T.",undervote,undervote,undervote,undervote
4814,Portland 4-1,Ballot Style 4,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Chann, Marpheen S.","Grant, Benjamin K.","Condrey, Lawson T.","Buxton, Catherine A.","Emerson, Anthony M.","Washburn, Patricia J.","Rovelto, Hope R.","Sheikh-Yousef, Nasreen A."
4815,Portland 4-1,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Grant, Benjamin K.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
